TIME_1,RE_1,LE_1,TIME_2,RE_2,LE_2,TIME_3,RE_3,LE_3,TIME_4,RE_4,LE_4,RE_1_processed,LE_1_processed,RE_2_processed,LE_2_processed,RE_3_processed,LE_3_processed,RE_4_processed,LE_4_processed
2007-12-20 14:37:55.0000,0.0,0.0,2007-12-20 14:38:30.0000,0.0,0.0,2007-12-20 11:22:09.0000,0.0,0.0,2007-12-20 11:26:01.0000,0.0,0.0,-0.17792026994408092,0.6764131748299718,0.2024811364346541,0.18819898351404168,-1.120230695772686,0.3037744896056669,-0.9162721569987896,1.231754792798489
2007-12-20 14:37:55.0006,0.0,-0.2,2007-12-20 14:38:30.0006,0.1,0.2,2007-12-20 11:22:09.0006,-0.1,0.0,2007-12-20 11:26:01.0006,-0.1,0.2,-0.11976827173416368,0.6415967605096868,0.24673028058659288,0.19681065151365323,-0.8438651733881536,0.3462524398536999,-0.8730304202573141,1.3685783414035986
2007-12-20 14:37:55.0012,0.1,-0.2,2007-12-20 14:38:30.0012,0.2,0.2,2007-12-20 11:22:09.0012,-0.2,0.0,2007-12-20 11:26:01.0012,-0.4,0.0,-0.061618438825823234,0.6075115752269274,0.2896682417195217,0.2058231479371745,-0.5704845622612494,0.3887035993889604,-0.8300287933990884,1.5046578887737738
2007-12-20 14:37:55.0018,0.3,-0.3,2007-12-20 14:38:30.0018,0.4,0.3,2007-12-20 11:22:09.0018,-0.1,0.0,2007-12-20 11:26:01.0018,-0.4,0.2,-0.0041168309565205365,0.574504516108543,0.33011183836252245,0.2152389462945239,-0.3034080040386088,0.43086056867415423,-0.7879312334882677,1.638238738614577
2007-12-20 14:37:55.0024,0.4,-0.3,2007-12-20 14:38:30.0024,0.6,0.4,2007-12-20 11:22:09.0024,0.0,0.0,2007-12-20 11:26:01.0024,-0.3,0.4,0.05208386878208009,0.5429133425860895,0.36694648287727427,0.22505904401970647,-0.04597571630947821,0.47243622307525796,-0.7474296593422546,1.767600530088601
2007-12-20 14:37:55.0030,0.5,-0.6,2007-12-20 14:38:30.0030,0.8,0.4,2007-12-20 11:22:09.0030,0.3,0.1,2007-12-20 11:26:01.0030,-0.1,0.8,0.10632854080125745,0.513061185483218,0.399157039352774,0.23528309980750872,0.19848594167849298,0.5131262596160276,-0.709236305646066,1.891095043460296
2007-12-20 14:37:55.0035,0.7,-0.6,2007-12-20 14:38:30.0035,1.1,0.4,2007-12-20 11:22:09.0035,0.5,0.3,2007-12-20 11:26:01.0035,0.0,1.0,0.1579647030866365,0.4852503792481825,0.42585575066167186,0.245908340615281,0.4267112735260087,0.5526133897335948,-0.6740718431900612,2.0071822828742434
2007-12-20 14:37:55.0041,0.8,-0.6,2007-12-20 14:38:30.0041,1.2,0.5,2007-12-20 11:22:09.0041,0.9,0.5,2007-12-20 11:26:01.0041,0.2,1.2,0.20634866451566986,0.45975563128771385,0.44630628602099665,0.2569271400210694,0.6355544269084797,0.5905731887338088,-0.642649225360723,2.1144636669230943
2007-12-20 14:37:55.0047,1.1,-0.6,2007-12-20 14:38:30.0047,1.3,0.5,2007-12-20 11:22:09.0047,1.2,0.6,2007-12-20 11:26:01.0047,0.5,1.3,0.2508528329295143,0.43681658458008077,0.4599430410016776,0.2683233036681709,0.8220598853782615,0.6266814126685103,-0.6156538150349529,2.2117110562576006
2007-12-20 14:37:55.0053,1.2,-0.6,2007-12-20 14:38:30.0053,1.3,0.3,2007-12-20 11:22:09.0053,1.4,0.8,2007-12-20 11:26:01.0053,0.6,1.5,0.29087412972996146,0.4166298731996888,0.46638496429533716,0.28006723610422873,0.98354176642522,0.660622416693933,-0.5937208488117677,2.2978904126254522
2007-12-20 14:37:55.0059,1.3,-0.7,2007-12-20 14:38:30.0059,1.2,0.3,2007-12-20 11:22:09.0059,1.6,1.0,2007-12-20 11:26:01.0059,0.7,1.5,0.32584334399732756,0.39934082411209765,0.4654433889146935,0.29211029861062743,1.117668279755917,0.6920981931901344,-0.5774116497613352,2.3721791138787673
2007-12-20 14:37:55.0065,1.4,-0.8,2007-12-20 14:38:30.0065,1.2,0.3,2007-12-20 11:22:09.0065,1.7,1.0,2007-12-20 11:26:01.0065,0.8,1.6,0.3552351584967791,0.3850350350992025,0.45712359424974747,0.30437878846854655,1.2225469434726157,0.7208375136380795,-0.5671901728332894,2.4339763020183818
2007-12-20 14:37:55.0071,1.6,-1.0,2007-12-20 14:38:30.0071,1.0,0.2,2007-12-20 11:22:09.0071,2.0,0.9,2007-12-20 11:26:01.0071,0.8,1.5,0.37857850367603635,0.373730160122584,0.44162009537714375,0.31676806031671595,1.2968057885024238,0.7466047101009953,-0.5634014546320432,2.482906070081778
2007-12-20 14:37:55.0077,1.7,-1.2,2007-12-20 14:38:30.0077,0.9,0.2,2007-12-20 11:22:09.0077,2.1,0.9,2007-12-20 11:26:01.0077,0.9,1.5,0.39546684170238294,0.36536834706179205,0.4193059238617988,0.3291373566476931,1.3396657520650317,0.7692077601216709,-0.566253368545416,2.518813756964465
2007-12-20 14:37:55.0083,1.8,-1.3,2007-12-20 14:38:30.0083,0.7,0.2,2007-12-20 11:22:09.0083,2.1,0.8,2007-12-20 11:26:01.0083,0.8,1.6,0.40556794900137205,0.3598098756378739,0.39071641267611545,0.3413059142275461,1.3509997252796289,0.7885055118759522,-0.5758027981158991,2.541756073137498
